#NAME	GSM442218	GSM442219	GSM442220	GSM442221
#CLASS	absent	absent	present	present
1552569_a_at	8.2	1.9	3.5	2.1
1552570_at	1.4	8.3	11.3	10.3
1552572_a_at	4.2	0.3	0.2	5.8
1552573_s_at	2.2	8.8	0.5	0.8
1552575_a_at	2.9	12.5	2.2	5.0
1552576_at	18.8	9.3	3.5	16.9
1552578_a_at	2.0	5.0	18.2	10.6
1552579_a_at	1.9	10.8	0.9	14.2
1552580_at	12.1	7.6	18.1	16.5
1552582_at	9.4	0.9	9.3	5.1
1552583_s_at	3.0	10.0	5.3	2.1
1552584_at	709.9	716.3	336.0	345.2
1552585_s_at	10.7	11.0	10.5	12.5
1552586_at	4.4	23.7	15.4	14.6
1552587_at	4.4	0.3	8.6	1.4
1552588_a_at	9.9	0.8	12.2	7.9
1552590_a_at	1.5	0.4	1.8	7.1
1552592_at	0.5	3.0	1.1	0.3
1552594_at	4.2	2.2	10.7	14.8
1552596_at	4.6	8.9	6.2	5.8
1552598_at	3.9	8.6	16.7	3.6
1552599_at	4.6	1.0	19.3	2.3
1552602_at	17.7	7.8	30.0	23.6
1552604_at	8.5	11.3	11.2	1.7
1552605_s_at	2.3	3.4	0.5	11.5
1552607_at	32.8	18.4	12.0	30.1
1552608_at	1.0	6.8	0.9	2.7
1552609_s_at	12.0	2.8	12.5	9.3
1552610_a_at	1089.2	1042.7	546.2	497.3
1552611_a_at	340.2	270.2	158.4	194.4
1552612_at	800.6	799.5	482.3	505.6
1552613_s_at	1060.5	1058.3	597.4	645.5
1552615_at	90.7	43.6	66.1	71.5
1552616_a_at	2.1	1.9	4.8	8.8
1552617_a_at	343.2	365.8	331.9	359.6
1552618_at	169.0	193.3	177.4	176.5
1552619_a_at	247.4	213.4	193.1	158.5
1552620_at	29.9	33.7	51.6	26.1
1552621_at	171.5	204.4	227.9	290.7
1552622_s_at	76.8	107.4	130.0	153.7
1552623_at	59.5	71.6	109.0	101.5
1552625_a_at	103.8	100.2	163.6	158.1
1552626_a_at	13.1	23.0	421.1	388.3
1552627_a_at	34.2	31.7	58.2	43.3
1552628_a_at	512.5	492.4	433.0	428.6
1552629_a_at	1.7	0.5	2.2	13.5
1552630_a_at	5.0	8.6	34.1	14.9
1552631_a_at	4.1	13.7	21.3	2.1
1552632_a_at	15.9	20.8	36.2	30.5
1552633_at	180.7	173.5	41.7	42.5
1552634_a_at	309.6	291.0	66.3	100.5
1552637_at	0.4	2.1	10.9	5.2
1552639_at	53.5	53.3	27.7	16.7
1552641_s_at	101.0	105.4	114.1	98.9
1552643_at	85.8	88.1	3.8	2.0
1552644_a_at	65.6	61.4	54.1	54.1
1552646_at	69.8	98.3	72.6	66.5
1552648_a_at	40.2	46.7	70.9	74.5
1552649_a_at	51.1	48.4	81.1	90.0
1552651_a_at	62.1	72.1	83.4	79.3
1552652_at	40.0	22.3	30.4	39.0
1552656_s_at	34.4	48.4	64.6	92.1
1552657_a_at	9.8	9.0	17.7	12.3
1552658_a_at	10.6	1.5	10.0	7.1
1552660_a_at	181.3	177.5	209.3	206.0
1552661_at	7.4	0.2	0.1	2.4
1552662_a_at	5.0	12.6	8.0	2.5
1552663_a_at	26.3	14.8	46.4	49.5
1552664_at	109.3	115.2	55.2	47.9
1552665_at	17.2	10.4	11.3	15.4
1552666_a_at	10.5	1.6	3.2	4.9
1552667_a_at	258.8	286.4	110.5	105.9
1552669_at	6.2	14.7	4.6	6.9
1552670_a_at	57.8	55.8	36.1	35.5
1552671_a_at	11.7	16.2	15.5	15.2
1552672_a_at	2.5	2.1	45.1	56.3
1552673_at	7.6	0.9	4.8	1.5
1552674_at	3.5	3.8	0.8	1.7
1552675_at	2.3	7.9	1.3	6.6
1552676_at	25.2	4.9	5.7	4.3
1552677_a_at	56.2	42.2	29.9	47.6
1552678_a_at	75.4	64.3	36.5	38.2
1552680_a_at	42.9	47.9	41.5	52.2
1552682_a_at	48.1	34.6	36.1	30.6
1552684_a_at	15.5	4.0	26.1	29.6
1552685_a_at	14.1	13.9	29.8	9.8
1552686_at	1.5	1.5	1.4	1.6
1552687_a_at	5.9	6.5	17.0	1.7
1552689_at	2.8	2.6	4.5	3.9
1552690_a_at	28.7	20.8	57.7	57.8
1552691_at	12.2	12.6	1.1	5.6
1552693_at	0.9	3.4	5.0	2.6
1552694_at	1.4	1.9	0.5	7.9
1552695_a_at	0.8	14.0	6.8	11.6
1552696_at	45.0	48.6	24.7	22.8
1552698_at	3.8	9.3	17.0	29.2
1552701_a_at	450.1	409.1	290.9	347.8
1552703_s_at	639.1	606.3	434.6	375.3
1552705_at	5.1	3.5	15.1	8.2
1552708_a_at	3.3	6.8	16.2	14.7
1552711_a_at	60.6	64.8	30.2	43.7
1552712_a_at	15.1	14.3	21.3	22.5
1552713_a_at	8.3	13.1	1.0	16.8
1552714_at	0.4	5.7	6.0	1.5
1552715_a_at	1.1	4.5	2.6	4.7
1552716_at	64.1	61.4	262.2	265.6
1552717_s_at	49.9	35.5	103.7	97.5
1552718_at	16.2	11.1	20.0	3.8
1552719_at	9.6	5.4	20.6	11.3
1552721_a_at	1.6	4.6	0.8	9.9
1552722_at	0.4	3.2	0.6	7.2
1552724_at	13.3	6.4	16.4	7.4
1552725_s_at	9.7	12.7	13.7	15.6
1552726_at	3.4	3.9	3.6	6.1
1552727_s_at	9.0	6.6	4.8	0.4
1552729_at	30.9	24.3	21.7	27.5
1552730_at	15.8	7.5	3.3	3.1
1552731_at	2.0	0.6	1.2	4.3
1552732_at	4.7	8.2	5.4	3.6
1552733_at	32.7	22.8	30.0	29.3
1552734_at	4.9	8.1	1.2	2.7
1552735_at	13.8	5.2	4.2	6.4
1552736_a_at	10.0	0.9	7.5	1.3
1552737_s_at	71.4	78.6	57.5	50.4
1552738_a_at	10.1	9.5	20.0	13.7
1552739_s_at	13.3	18.3	32.4	19.4
1552740_at	1.0	0.8	1.4	4.1
1552742_at	1.1	4.4	3.0	2.1
1552743_at	1.7	2.8	12.1	17.9
1552745_at	11.5	1.1	4.7	6.1
1552747_a_at	1.8	10.0	2.6	1.5
1552749_a_at	4.9	3.9	6.3	6.3
1552750_at	2.8	1.2	11.8	2.0
1552751_a_at	36.1	18.6	24.9	17.6
1552752_a_at	11.5	3.7	11.7	4.1
1552754_a_at	6.6	0.5	4.4	5.5
1552755_at	20.4	7.3	3.2	11.6
1552757_s_at	2.9	2.6	4.8	4.2
1552758_at	2.7	4.4	18.5	14.7
1552760_at	0.3	1.4	14.8	13.2
1552761_at	28.0	42.1	9.9	17.9
1552763_at	0.6	4.4	0.3	0.2
1552765_x_at	7.8	8.5	12.0	7.8
1552766_at	0.2	5.8	20.3	22.3
1552767_a_at	5.1	2.5	86.6	83.1
1552768_at	1.7	2.6	2.5	1.8
1552769_at	14.8	13.3	18.0	14.1
1552770_s_at	11.2	15.0	10.6	3.2
1552771_a_at	0.5	0.5	0.6	0.7
1552772_at	9.3	4.1	6.3	12.6
1552773_at	4.9	11.5	15.8	16.8
1552774_a_at	5.8	3.0	1.7	1.2
1552775_at	8.9	7.0	19.2	2.0
1552777_a_at	3.1	2.3	16.0	1.7
1552779_a_at	3.5	6.0	8.0	12.0
1552782_at	5.4	2.0	10.2	7.8
1552783_at	9.5	9.9	4.6	0.9
1552785_at	8.9	9.5	4.5	4.5
1552787_at	45.8	65.0	31.9	39.7
1552788_a_at	59.4	53.1	47.7	33.3
1552789_at	40.8	53.7	46.0	23.6
1552790_a_at	128.9	110.1	90.0	120.4
1552791_a_at	1.9	4.5	5.4	3.9
1552792_at	14.5	7.5	19.7	21.9
1552793_at	17.3	3.5	0.6	2.7
1552794_a_at	4.5	11.0	20.0	9.7
1552796_a_at	2.7	17.2	117.0	91.5
1552797_s_at	3.7	7.2	10.1	4.2
1552798_a_at	2.6	1.9	10.9	3.0
1552799_at	5.3	4.4	4.6	12.0
1552800_at	7.9	4.2	4.0	11.8
1552801_at	1.8	0.4	3.0	1.3
1552803_a_at	16.9	6.4	3.9	2.2
1552804_a_at	42.2	54.1	30.4	47.2
1552806_a_at	5.1	6.3	15.1	26.5
1552807_a_at	17.2	15.1	51.2	25.2
1552808_at	6.9	1.2	1.7	2.1
1552809_at	1.2	3.9	3.5	6.0
1552811_at	2.3	1.7	5.8	4.9
1552812_a_at	60.6	74.0	100.8	91.5
1552813_at	6.2	1.9	1.4	8.5
1552814_a_at	1.7	10.7	0.8	0.9
1552816_at	5.4	7.9	9.2	14.1
1552818_a_at	1.9	2.5	0.9	0.8
1552819_at	10.6	6.0	9.7	4.8
1552822_at	7.5	11.0	20.8	15.9
1552825_at	0.6	5.0	1.6	1.8
1552826_at	0.4	1.3	1.4	3.1
1552827_s_at	9.5	1.1	9.8	11.7
1552828_at	20.9	2.8	15.8	16.6
1552829_at	13.9	9.7	12.0	22.3
1552830_at	1.8	1.7	0.8	14.0
1552833_at	2.7	11.0	10.1	9.0
1552834_at	4.0	12.2	3.5	19.6
1552835_at	5.7	11.8	0.4	9.2
1552836_at	13.0	6.5	14.4	32.4
1552837_at	7.7	2.4	0.6	1.2
1552839_at	12.5	0.4	14.2	6.8
1552841_s_at	2.3	4.9	8.0	5.4
1552842_at	2.4	14.8	4.5	4.2
1552843_at	0.8	1.3	2.3	0.6
1552845_at	17.2	29.0	21.1	28.2
1552846_s_at	15.8	9.2	7.4	4.9
1552848_a_at	7.6	9.0	13.2	7.0
1552849_at	6.7	2.3	0.3	10.6
1552851_at	9.2	0.7	1.2	0.7
1552852_a_at	9.0	3.8	11.7	11.7
1552853_at	1.8	1.6	8.1	2.6
1552854_a_at	1.8	1.3	1.6	2.3
1552856_at	5.9	12.1	6.8	2.4
1552857_a_at	8.6	8.9	7.9	9.4
1552858_at	3.1	4.2	5.6	2.8
1552860_at	2.5	7.3	3.8	2.0
1552862_at	18.3	7.1	22.0	25.2
1552863_a_at	42.7	49.7	80.8	70.9
1552865_a_at	10.1	3.7	3.6	14.8
1552867_at	10.9	13.3	8.8	9.5
1552868_at	21.2	17.0	17.1	12.2
1552870_s_at	4.1	0.3	5.3	5.7
1552872_at	6.2	18.3	22.6	1.2
1552873_s_at	27.1	38.4	23.1	41.5
1552875_a_at	66.0	86.2	16.7	19.8
1552876_at	2.5	5.1	3.6	5.8
1552877_s_at	3.6	3.3	9.2	11.3
1552878_at	9.4	7.6	2.6	0.3
1552879_a_at	15.3	1.6	3.2	3.7
1552880_at	9.3	2.7	1.2	5.6
1552882_a_at	17.1	13.2	16.6	5.1
1552884_at	17.5	11.0	13.3	15.9
1552885_a_at	9.9	32.4	48.3	12.7
1552887_at	3.8	13.1	20.2	4.7
1552889_a_at	46.4	52.0	68.0	53.6
1552890_a_at	3.0	2.5	5.6	4.4
1552892_at	4.7	2.8	1.8	1.5
1552893_at	30.4	15.2	28.3	21.2
1552895_a_at	4.4	8.6	11.4	8.0
1552897_a_at	4.8	1.7	2.7	4.2
1552898_a_at	1.7	2.7	2.7	2.1
1552899_at	14.2	12.1	5.6	1.0
1552900_a_at	9.1	6.3	2.0	10.1
1552902_a_at	1.1	3.9	2.5	1.0
1552903_at	16.1	3.7	12.3	3.0
1552904_at	8.7	0.1	7.7	0.4
1552906_at	1.3	0.8	0.4	8.8
1552908_at	16.0	11.1	6.5	1.0
1552910_at	12.7	8.0	10.2	7.7
1552911_at	1.2	2.4	2.8	0.8
1552912_a_at	14.1	14.5	97.5	75.6
1552913_at	1.5	0.6	0.7	9.8
1552914_a_at	3.0	2.2	12.8	20.7
1552915_at	16.9	12.8	18.5	11.6
1552917_at	23.1	24.5	20.3	17.9
1552919_at	6.0	1.4	7.7	6.8
1552921_a_at	181.4	182.6	263.1	242.9
1552922_at	1.3	0.4	7.3	2.2
1552923_a_at	40.4	32.0	12.7	9.9
1552924_a_at	92.6	88.2	5.2	2.7
1552925_at	4.0	3.0	3.2	2.2
1552927_at	33.3	30.4	19.8	28.2
1552928_s_at	31.9	40.9	52.1	56.9
1552929_at	5.6	1.0	1.0	7.3
1552930_at	23.6	30.2	27.7	29.8
1552931_a_at	52.2	49.3	47.2	52.9
1552932_at	25.8	35.8	1.5	2.0
1552933_at	15.5	0.6	5.9	7.5
1552935_at	15.0	16.7	12.7	21.7
1552937_s_at	104.0	107.0	133.0	84.9
1552938_at	5.9	7.6	22.3	11.8
1552939_at	4.9	5.0	2.6	0.4
1552940_at	1.1	8.1	9.1	11.5
1552942_at	25.0	18.7	36.1	27.7
1552943_at	8.6	0.4	4.9	1.0
1552944_a_at	10.8	11.5	13.0	8.1
1552946_at	0.4	0.6	1.3	4.8
1552947_x_at	1.6	10.7	4.3	1.8
1552948_at	9.8	3.9	2.6	5.9
1552950_at	0.5	1.0	1.5	0.8
1552952_at	0.8	3.3	5.1	2.8
1552953_a_at	30.8	17.4	12.7	18.5
1552954_at	18.3	17.9	69.0	67.0
1552955_at	10.9	5.6	20.3	5.6
1552957_at	10.1	2.2	4.9	12.1
1552960_at	7.4	1.5	3.1	7.4
1552961_at	3.3	14.0	8.0	16.8
1552964_at	1.9	1.2	2.7	2.3
1552965_a_at	1.9	2.0	2.1	8.4
1552967_at	4.8	7.3	9.8	6.4
1552969_a_at	11.7	14.8	14.3	4.0
1552970_s_at	9.0	12.5	10.5	14.3
1552971_at	4.3	1.1	0.5	4.9
1552972_at	2.6	0.3	6.7	4.0
1552973_at	3.4	1.9	1.2	0.9
1552974_at	1.4	0.6	0.3	0.7
1552975_x_at	0.5	5.4	5.8	12.9
1552976_at	24.3	38.3	40.7	30.3
1552977_a_at	267.3	268.6	88.1	75.3
1552978_a_at	74.2	83.5	79.3	101.3
1552979_at	7.8	1.5	10.7	1.0
1552980_at	23.1	26.6	27.2	19.7
1552982_a_at	2.6	7.0	8.7	16.0
1552985_at	8.4	1.9	36.3	26.6
1552986_at	2.3	1.7	1.2	1.3
1552987_a_at	11.8	2.7	0.9	0.7
1552988_at	5.5	4.3	7.5	5.7
1552990_at	1.3	0.8	1.2	0.9
1552991_at	0.9	7.9	9.0	10.3
1552993_at	0.6	1.0	6.1	0.5
1552995_at	2.0	1.8	2.2	1.5
1552997_a_at	12.3	1.1	4.8	10.2
1552998_at	1.0	0.8	1.0	1.1
1552999_a_at	1.0	1.7	5.7	12.4
1553002_at	5.3	8.7	8.1	0.6
1553003_at	3.4	2.5	2.0	3.3
1553004_at	1.6	1.9	13.4	8.0
1553006_at	15.1	1.8	0.9	2.0
1553007_a_at	7.5	2.9	2.4	2.3
1553009_s_at	1.2	0.8	4.9	2.3
1553011_at	24.6	23.3	3.9	6.1
1553013_at	13.8	13.6	12.2	6.0
1553015_a_at	162.7	114.7	77.8	134.9
1553016_at	4.7	5.5	18.0	11.5
1553019_at	18.8	18.2	6.5	2.6
1553020_at	7.3	8.7	9.2	11.6
1553021_s_at	48.0	46.6	23.2	32.9
1553022_at	2.2	5.6	3.4	4.1
1553023_a_at	16.0	2.7	19.9	14.3
1553024_at	5.1	12.8	4.7	0.2
1553025_at	0.7	5.4	13.4	12.5
1553027_a_at	1.1	1.6	5.2	1.9
1553028_at	11.4	3.3	1.4	13.8
1553030_a_at	33.3	35.0	49.6	45.5
1553031_at	10.2	8.1	7.9	1.8
1553032_at	3.6	0.9	3.4	0.7
1553033_at	0.5	0.6	0.5	0.7
1553034_at	37.8	40.5	36.8	24.7
1553036_at	0.9	0.9	1.1	7.6
1553037_a_at	4.6	1.3	6.9	2.5
1553039_a_at	2.8	2.9	2.4	2.2
1553041_at	2.2	2.0	2.3	2.2
1553042_a_at	45.8	70.2	34.0	44.6
1553043_a_at	0.7	11.6	8.0	5.8
1553044_at	0.9	6.3	8.1	9.1
1553045_at	2.2	2.7	2.3	2.1
1553046_s_at	6.2	16.7	6.1	18.0
1553047_at	27.5	16.9	20.3	17.2
1553048_a_at	43.5	54.4	56.5	52.0
1553051_s_at	3.9	6.8	7.8	1.1
1553052_at	2.0	4.6	0.9	1.0
1553053_at	18.7	1.6	2.0	3.0
1553055_a_at	138.0	142.6	39.9	63.9
1553057_at	7.2	7.9	20.1	21.5
1553058_at	5.6	3.0	1.8	2.9
1553059_at	1.7	2.0	9.4	9.8
1553060_at	3.3	16.4	15.7	20.3
1553061_at	1.3	1.2	1.4	1.1
